   节点编号          X坐标          Y坐标          Z坐标          接触状态          接触压力          接触间隙
    6403.0      167.80900       14.68138       -0.01774            3.0       20.17805        0.00009
    6405.0      174.38388       15.25661       -0.02490            3.0       32.86744        0.00016
    6406.0      167.80285       15.17457       -0.01776            3.0       20.23829        0.00009
    6407.0      167.87027       15.66315       -0.01786            3.0       20.41131        0.00009
    6408.0      168.00977       16.13624       -0.01797            3.0       20.67260        0.00009
    6409.0      168.21821       16.58324       -0.01817            3.0       21.03894        0.00010
    6410.0      168.49095       16.99419       -0.01843            3.0       21.53533        0.00010
    6411.0      168.82189       17.35990       -0.01870            3.0       22.11060        0.00010
    6412.0      169.20364       17.67220       -0.01904            3.0       22.78049        0.00011
    6413.0      169.62767       17.92412       -0.01941            3.0       23.55218        0.00011
    6414.0      170.08451       18.11002       -0.01984            3.0       24.39019        0.00011
    6415.0      170.56396       18.22576       -0.02030            3.0       25.11748        0.00012
    6416.0      171.05530       18.26874       -0.02081            3.0       25.84468        0.00013
    6417.0      171.54756       18.23802       -0.02133            3.0       27.26260        0.00013
    6418.0      172.02974       18.13427       -0.02189            3.0       28.16884        0.00014
    6419.0      172.49108       17.95981       -0.02245            3.0       29.12324        0.00014
    6420.0      172.92126       17.71855       -0.02300            3.0       30.01558        0.00015
    6421.0      173.31068       17.41586       -0.02353            3.0       30.84634        0.00015
    6422.0      173.65063       17.05852       -0.02394            3.0       31.51008        0.00016
    6423.0      173.93353       16.65450       -0.02435            3.0       32.09963        0.00016
    6424.0      174.15305       16.21283       -0.02465            3.0       32.51838        0.00016
    6425.0      174.30430       15.74337       -0.02484            3.0       32.78305        0.00016
    8778.0      167.88858       14.19463       -0.01775            3.0       20.22932        0.00009
    8779.0      168.03982       13.72517       -0.01787            3.0       20.40288        0.00009
    8780.0      168.25935       13.28350       -0.01798            3.0       20.66443        0.00009
    8781.0      168.54225       12.87948       -0.01817            3.0       21.04015        0.00010
    8782.0      168.88220       12.52213       -0.01843            3.0       21.53291        0.00010
    8783.0      169.27162       12.21945       -0.01870            3.0       22.11580        0.00010
    8784.0      169.70180       11.97818       -0.01904            3.0       22.79214        0.00011
    8785.0      170.16313       11.80373       -0.01943            3.0       23.53904        0.00011
    8786.0      170.64532       11.69998       -0.01985            3.0       24.15719        0.00012
    8787.0      171.13758       11.66926       -0.02030            3.0       25.49221        0.00012
    8788.0      171.62892       11.71224       -0.02082            3.0       26.02329        0.00013
    8789.0      172.10837       11.82798       -0.02134            3.0       26.87486        0.00013
    8790.0      172.56521       12.01388       -0.02190            3.0       27.86057        0.00014
    8791.0      172.98924       12.26580       -0.02245            3.0       29.06588        0.00014
    8792.0      173.37099       12.57810       -0.02299            3.0       29.99189        0.00015
    8793.0      173.70193       12.94381       -0.02353            3.0       30.82767        0.00015
    8794.0      173.97467       13.35475       -0.02394            3.0       31.52305        0.00016
    8795.0      174.18311       13.80176       -0.02436            3.0       32.10283        0.00016
    8796.0      174.32261       14.27484       -0.02466            3.0       32.53301        0.00016
    8797.0      174.39003       14.76343       -0.02484            3.0       32.78118        0.00016
    8813.0      178.00000        0.00000       -0.00043            3.0       12.30973        0.00004
    8814.0      175.29578       30.90938       -0.00043            3.0       11.59113        0.00005
    8815.0      177.99932        0.49312       -0.00048            3.0       12.10281        0.00005
    8816.0      177.99727        0.98624       -0.00062            3.0       12.87741        0.00005
    8817.0      177.99385        1.47936       -0.00086            3.0       13.35984        0.00005
