   节点编号          X坐标          Y坐标          Z坐标          接触状态          接触压力          接触间隙
    6403.0      167.80900       14.68138       -0.01784            3.0       20.09079        0.00010
    6405.0      174.38388       15.25661       -0.02508            3.0       32.69484        0.00018
    6406.0      167.80285       15.17457       -0.01786            3.0       20.13856        0.00010
    6407.0      167.87027       15.66315       -0.01796            3.0       20.29984        0.00010
    6408.0      168.00977       16.13624       -0.01807            3.0       20.56129        0.00010
    6409.0      168.21821       16.58324       -0.01827            3.0       20.94637        0.00010
    6410.0      168.49095       16.99419       -0.01853            3.0       21.43569        0.00010
    6411.0      168.82189       17.35990       -0.01881            3.0       22.01075        0.00011
    6412.0      169.20364       17.67220       -0.01915            3.0       22.67633        0.00011
    6413.0      169.62767       17.92412       -0.01953            3.0       23.43476        0.00012
    6414.0      170.08451       18.11002       -0.01997            3.0       24.26900        0.00012
    6415.0      170.56396       18.22576       -0.02042            3.0       25.29569        0.00013
    6416.0      171.05530       18.26874       -0.02094            3.0       26.45474        0.00013
    6417.0      171.54756       18.23802       -0.02147            3.0       27.00926        0.00014
    6418.0      172.02974       18.13427       -0.02203            3.0       28.03369        0.00015
    6419.0      172.49108       17.95981       -0.02260            3.0       28.98096        0.00015
    6420.0      172.92126       17.71855       -0.02315            3.0       29.86272        0.00016
    6421.0      173.31068       17.41586       -0.02370            3.0       30.68902        0.00016
    6422.0      173.65063       17.05852       -0.02411            3.0       31.34826        0.00017
    6423.0      173.93353       16.65450       -0.02452            3.0       31.93299        0.00017
    6424.0      174.15305       16.21283       -0.02482            3.0       32.34875        0.00017
    6425.0      174.30430       15.74337       -0.02502            3.0       32.61130        0.00017
    8778.0      167.88858       14.19463       -0.01785            3.0       20.13899        0.00010
    8779.0      168.03982       13.72517       -0.01797            3.0       20.31053        0.00010
    8780.0      168.25935       13.28350       -0.01808            3.0       20.56883        0.00010
    8781.0      168.54225       12.87948       -0.01827            3.0       20.94360        0.00010
    8782.0      168.88220       12.52213       -0.01853            3.0       21.43231        0.00010
    8783.0      169.27162       12.21945       -0.01881            3.0       22.00647        0.00011
    8784.0      169.70180       11.97818       -0.01915            3.0       22.67175        0.00011
    8785.0      170.16313       11.80373       -0.01954            3.0       23.42456        0.00012
    8786.0      170.64532       11.69998       -0.01997            3.0       24.45238        0.00012
    8787.0      171.13758       11.66926       -0.02043            3.0       24.94449        0.00013
    8788.0      171.62892       11.71224       -0.02095            3.0       26.22547        0.00013
    8789.0      172.10837       11.82798       -0.02148            3.0       27.30426        0.00014
    8790.0      172.56521       12.01388       -0.02204            3.0       28.27747        0.00014
    8791.0      172.98924       12.26580       -0.02261            3.0       29.03117        0.00015
    8792.0      173.37099       12.57810       -0.02315            3.0       29.88203        0.00016
    8793.0      173.70193       12.94381       -0.02369            3.0       30.70005        0.00016
    8794.0      173.97467       13.35475       -0.02411            3.0       31.34275        0.00017
    8795.0      174.18311       13.80176       -0.02453            3.0       31.94222        0.00017
    8796.0      174.32261       14.27484       -0.02484            3.0       32.36143        0.00017
    8797.0      174.39003       14.76343       -0.02502            3.0       32.60922        0.00017
    8813.0      178.00000        0.00000       -0.00047            3.0       12.86211        0.00005
    8814.0      175.29578       30.90938       -0.00048            3.0       12.82229        0.00004
    8815.0      177.99932        0.49312       -0.00053            3.0       13.12698        0.00005
    8816.0      177.99727        0.98624       -0.00067            3.0       13.18967        0.00005
    8817.0      177.99385        1.47936       -0.00092            3.0       13.54100        0.00005
    8818.0      177.98907        1.97246       -0.00126            3.0       14.08998        0.00006
    8819.0      177.98292        2.46555       -0.00170            3.0       14.73109        0.00006
    8820.0      177.97541        2.95861       -0.00222            3.0       15.45581        0.00007
    8821.0      177.96653        3.45166       -0.00285            3.0       16.32596        0.00007
    8822.0      177.95629        3.94468       -0.00356            3.0       17.29011        0.00008
    8823.0      177.94467        4.43766       -0.00436            3.0       18.34123        0.00008
    8824.0      177.93170        4.93062       -0.00525            3.0       19.46722        0.00009
    8825.0      177.91736        5.42353       -0.00620            3.0       20.64693        0.00010
    8826.0      177.90165        5.91641       -0.00724            3.0       21.88614        0.00011
    8827.0      177.88457        6.40924       -0.00834            3.0       23.14979        0.00011
    8828.0      177.86614        6.90202       -0.00951            3.0       24.45433        0.00012
    8829.0      177.84633        7.39474       -0.01073            3.0       25.74697        0.00013
    8830.0      177.82516        7.88741       -0.01199            3.0       27.04281        0.00014
    8831.0      177.80263        8.38002       -0.01330            3.0       28.32152        0.00015
    8832.0      177.77873        8.87257       -0.01462            3.0       29.56003        0.00016
    8833.0      177.75347        9.36504       -0.01594            3.0       30.74565        0.00016
    8834.0      177.72684        9.85745       -0.01726            3.0       31.87581        0.00017
    8835.0      177.69885       10.34978       -0.01856            3.0       32.94987        0.00018
    8836.0      177.66950       10.84203       -0.01982            3.0       33.95052        0.00018
    8837.0      177.63878       11.33420       -0.02101            3.0       34.85388        0.00019
    8838.0      177.60670       11.82628       -0.02212            3.0       35.65599        0.00019
    8839.0      177.57325       12.31827       -0.02316            3.0       36.37923        0.00020
    8840.0      177.53845       12.81016       -0.02408            3.0       37.00865        0.00020
    8841.0      177.50228       13.30196       -0.02487            3.0       37.54047        0.00021
    8842.0      177.46474       13.79365       -0.02553            3.0       37.97312        0.00021
    8843.0      177.42585       14.28524       -0.02603            3.0       38.30111        0.00021
    8844.0      177.38559       14.77672       -0.02636            3.0       38.51118        0.00021
    8845.0      177.34398       15.26808       -0.02654            3.0       38.62305        0.00021
    8846.0      177.30100       15.75933       -0.02654            3.0       38.62727        0.00021
    8847.0      177.25666       16.25046       -0.02637            3.0       38.51406        0.00021
    8848.0      177.21096       16.74146       -0.02604            3.0       38.29917        0.00021
    8849.0      177.16390       17.23233       -0.02552            3.0       37.96682        0.00021
    8850.0      177.11548       17.72308       -0.02487            3.0       37.54359        0.00021
    8851.0      177.06570       18.21368       -0.02408            3.0       37.01578        0.00020
    8852.0      177.01456       18.70415       -0.02316            3.0       36.38508        0.00020
    8853.0      176.96206       19.19447       -0.02213            3.0       35.65849        0.00019
    8854.0      176.90821       19.68465       -0.02101            3.0       34.84154        0.00019
    8855.0      176.85300       20.17467       -0.01982            3.0       33.93839        0.00018
    8856.0      176.79643       20.66454       -0.01856            3.0       32.94670        0.00018
    8857.0      176.73850       21.15425       -0.01727            3.0       31.88056        0.00017
    8858.0      176.67922       21.64380       -0.01595            3.0       30.74924        0.00016
    8859.0      176.61858       22.13318       -0.01462            3.0       29.55979        0.00016
    8860.0      176.55658       22.62239       -0.01330            3.0       28.32393        0.00015
    8861.0      176.49323       23.11143       -0.01200            3.0       27.04710        0.00014
    8862.0      176.42853       23.60029       -0.01074            3.0       25.75697        0.00013
    8863.0      176.36247       24.08897       -0.00952            3.0       24.45602        0.00012
    8864.0      176.29506       24.57747       -0.00835            3.0       23.16240        0.00011
    8865.0      176.22629       25.06577       -0.00725            3.0       21.89034        0.00011
    8866.0      176.15618       25.55389       -0.00621            3.0       20.64680        0.00010
    8867.0      176.08471       26.04181       -0.00525            3.0       19.46873        0.00009
    8868.0      176.01189       26.52952       -0.00437            3.0       18.34739        0.00008
    8869.0      175.93772       27.01704       -0.00356            3.0       17.29078        0.00008
    8870.0      175.86219       27.50435       -0.00285            3.0       16.33287        0.00007
    8871.0      175.78532       27.99144       -0.00222            3.0       15.46761        0.00007
    8872.0      175.70710       28.47832       -0.00170            3.0       14.74155        0.00006
    8873.0      175.62753       28.96499       -0.00126            3.0       14.10622        0.00006
    8874.0      175.54661       29.45143       -0.00092            3.0       13.55558        0.00005
    8875.0      175.46435       29.93764       -0.00067            3.0       13.23756        0.00005
    8876.0      175.38074       30.42362       -0.00054            3.0       11.85305        0.00006
    8877.0      160.00000        0.00000        0.00000            1.0        0.00000        0.00000
    8878.0      177.50000        0.00000       -0.00069            3.0       13.31623        0.00004
