   节点编号          X坐标          Y坐标          Z坐标          接触状态          接触压力          接触间隙
    6403.0      167.80900       14.68138       -0.01765            3.0       20.23757        0.00010
    6405.0      174.38388       15.25661       -0.02474            3.0       33.02463        0.00017
    6406.0      167.80285       15.17457       -0.01767            3.0       20.28217        0.00010
    6407.0      167.87027       15.66315       -0.01777            3.0       20.44309        0.00010
    6408.0      168.00977       16.13624       -0.01788            3.0       20.71197        0.00010
    6409.0      168.21821       16.58324       -0.01807            3.0       21.11099        0.00010
    6410.0      168.49095       16.99419       -0.01833            3.0       21.60958        0.00011
    6411.0      168.82189       17.35990       -0.01860            3.0       22.19512        0.00011
    6412.0      169.20364       17.67220       -0.01893            3.0       22.87169        0.00011
    6413.0      169.62767       17.92412       -0.01930            3.0       23.63867        0.00012
    6414.0      170.08451       18.11002       -0.01973            3.0       24.48667        0.00012
    6415.0      170.56396       18.22576       -0.02018            3.0       25.60807        0.00012
    6416.0      171.05530       18.26874       -0.02068            3.0       26.90249        0.00013
    6417.0      171.54756       18.23802       -0.02120            3.0       27.23080        0.00014
    6418.0      172.02974       18.13427       -0.02175            3.0       28.30297        0.00014
    6419.0      172.49108       17.95981       -0.02231            3.0       29.26181        0.00015
    6420.0      172.92126       17.71855       -0.02285            3.0       30.15446        0.00015
    6421.0      173.31068       17.41586       -0.02338            3.0       30.99185        0.00015
    6422.0      173.65063       17.05852       -0.02378            3.0       31.65932        0.00016
    6423.0      173.93353       16.65450       -0.02419            3.0       32.25196        0.00016
    6424.0      174.15305       16.21283       -0.02448            3.0       32.67322        0.00016
    6425.0      174.30430       15.74337       -0.02468            3.0       32.93977        0.00016
    8778.0      167.88858       14.19463       -0.01766            3.0       20.28832        0.00010
    8779.0      168.03982       13.72517       -0.01778            3.0       20.46437        0.00010
    8780.0      168.25935       13.28350       -0.01789            3.0       20.72871        0.00010
    8781.0      168.54225       12.87948       -0.01808            3.0       21.11087        0.00010
    8782.0      168.88220       12.52213       -0.01833            3.0       21.60534        0.00011
    8783.0      169.27162       12.21945       -0.01860            3.0       22.18237        0.00011
    8784.0      169.70180       11.97818       -0.01894            3.0       22.91320        0.00011
    8785.0      170.16313       11.80373       -0.01932            3.0       23.70451        0.00012
    8786.0      170.64532       11.69998       -0.01974            3.0       24.65358        0.00012
    8787.0      171.13758       11.66926       -0.02018            3.0       24.79068        0.00013
    8788.0      171.62892       11.71224       -0.02069            3.0       26.49938        0.00013
    8789.0      172.10837       11.82798       -0.02121            3.0       27.64603        0.00013
