   节点编号          X坐标          Y坐标          Z坐标          接触状态          接触压力          接触间隙
    6403.0      167.80900       14.68138       -0.01502            3.0       23.33224        0.00015
    6405.0      174.38388       15.25661       -0.02010            3.0       37.74179        0.00025
    6406.0      167.80285       15.17457       -0.01503            3.0       23.42683        0.00015
    6407.0      167.87027       15.66315       -0.01510            3.0       23.64520        0.00015
    6408.0      168.00977       16.13624       -0.01517            3.0       23.91614        0.00015
    6409.0      168.21821       16.58324       -0.01530            3.0       24.25532        0.00016
    6410.0      168.49095       16.99419       -0.01549            3.0       24.80615        0.00016
    6411.0      168.82189       17.35990       -0.01567            3.0       25.43206        0.00016
    6412.0      169.20364       17.67220       -0.01589            3.0       26.16636        0.00017
    6413.0      169.62767       17.92412       -0.01614            3.0       27.02488        0.00018
    6414.0      170.08451       18.11002       -0.01644            3.0       27.95213        0.00018
    6415.0      170.56396       18.22576       -0.01675            3.0       28.75980        0.00019
    6416.0      171.05530       18.26874       -0.01711            3.0       29.55554        0.00020
    6417.0      171.54756       18.23802       -0.01747            3.0       31.21927        0.00020
    6418.0      172.02974       18.13427       -0.01786            3.0       32.24937        0.00021
    6419.0      172.49108       17.95981       -0.01827            3.0       33.35603        0.00022
    6420.0      172.92126       17.71855       -0.01867            3.0       34.39189        0.00022
    6421.0      173.31068       17.41586       -0.01907            3.0       35.36723        0.00023
    6422.0      173.65063       17.05852       -0.01936            3.0       36.13622        0.00024
    6423.0      173.93353       16.65450       -0.01968            3.0       36.83437        0.00024
    6424.0      174.15305       16.21283       -0.01990            3.0       37.32806        0.00024
    6425.0      174.30430       15.74337       -0.02006            3.0       37.64237        0.00025
    8778.0      167.88858       14.19463       -0.01502            3.0       23.38696        0.00015
    8779.0      168.03982       13.72517       -0.01511            3.0       23.58532        0.00015
    8780.0      168.25935       13.28350       -0.01518            3.0       23.86592        0.00015
    8781.0      168.54225       12.87948       -0.01531            3.0       24.28018        0.00016
    8782.0      168.88220       12.52213       -0.01549            3.0       24.82120        0.00016
    8783.0      169.27162       12.21945       -0.01567            3.0       25.44808        0.00016
    8784.0      169.70180       11.97818       -0.01590            3.0       26.18692        0.00017
    8785.0      170.16313       11.80373       -0.01616            3.0       27.08778        0.00018
    8786.0      170.64532       11.69998       -0.01645            3.0       27.77483        0.00018
    8787.0      171.13758       11.66926       -0.01675            3.0       28.84896        0.00019
