   节点编号          X坐标          Y坐标          Z坐标          接触状态          接触压力          接触间隙
    6403.0      167.80900       14.68138       -0.01654            3.0       21.25633        0.00012
    6405.0      174.38388       15.25661       -0.02283            3.0       34.81794        0.00023
    6406.0      167.80285       15.17457       -0.01656            3.0       21.31869        0.00012
    6407.0      167.87027       15.66315       -0.01664            3.0       21.50178        0.00013
    6408.0      168.00977       16.13624       -0.01673            3.0       21.77410        0.00013
    6409.0      168.21821       16.58324       -0.01691            3.0       22.16469        0.00013
    6410.0      168.49095       16.99419       -0.01713            3.0       22.68966        0.00013
    6411.0      168.82189       17.35990       -0.01737            3.0       23.29960        0.00014
    6412.0      169.20364       17.67220       -0.01766            3.0       24.00772        0.00014
    6413.0      169.62767       17.92412       -0.01798            3.0       24.82539        0.00015
    6414.0      170.08451       18.11002       -0.01835            3.0       25.71385        0.00016
    6415.0      170.56396       18.22576       -0.01875            3.0       26.58198        0.00016
    6416.0      171.05530       18.26874       -0.01919            3.0       27.49008        0.00017
    6417.0      171.54756       18.23802       -0.01965            3.0       28.74705        0.00018
    6418.0      172.02974       18.13427       -0.02014            3.0       29.75460        0.00019
    6419.0      172.49108       17.95981       -0.02063            3.0       30.78216        0.00020
    6420.0      172.92126       17.71855       -0.02112            3.0       31.73959        0.00020
    6421.0      173.31068       17.41586       -0.02160            3.0       32.63819        0.00021
    6422.0      173.65063       17.05852       -0.02196            3.0       33.35015        0.00022
    6423.0      173.93353       16.65450       -0.02233            3.0       33.98830        0.00022
    6424.0      174.15305       16.21283       -0.02259            3.0       34.44050        0.00022
    6425.0      174.30430       15.74337       -0.02277            3.0       34.72696        0.00023
    8778.0      167.88858       14.19463       -0.01655            3.0       21.30644        0.00012
    8779.0      168.03982       13.72517       -0.01665            3.0       21.49259        0.00013
    8780.0      168.25935       13.28350       -0.01675            3.0       21.76623        0.00013
    8781.0      168.54225       12.87948       -0.01691            3.0       22.16697        0.00013
    8782.0      168.88220       12.52213       -0.01713            3.0       22.68648        0.00013
    8783.0      169.27162       12.21945       -0.01737            3.0       23.29922        0.00014
    8784.0      169.70180       11.97818       -0.01766            3.0       24.00646        0.00014
    8785.0      170.16313       11.80373       -0.01799            3.0       24.85630        0.00015
    8786.0      170.64532       11.69998       -0.01836            3.0       25.64550        0.00016
    8787.0      171.13758       11.66926       -0.01875            3.0       26.53389        0.00017
    8788.0      171.62892       11.71224       -0.01920            3.0       27.24361        0.00017
    8789.0      172.10837       11.82798       -0.01966            3.0       28.64407        0.00018
    8790.0      172.56521       12.01388       -0.02014            3.0       29.64625        0.00019
    8791.0      172.98924       12.26580       -0.02064            3.0       30.74428        0.00020
    8792.0      173.37099       12.57810       -0.02111            3.0       31.72367        0.00020
    8793.0      173.70193       12.94381       -0.02159            3.0       32.62767        0.00021
    8794.0      173.97467       13.35475       -0.02196            3.0       33.35795        0.00022
    8795.0      174.18311       13.80176       -0.02234            3.0       33.99460        0.00022
    8796.0      174.32261       14.27484       -0.02261            3.0       34.45726        0.00022
    8797.0      174.39003       14.76343       -0.02277            3.0       34.72462        0.00023
    8813.0      178.00000        0.00000       -0.00002            1.0        0.00000        0.00000
    8814.0      175.29578       30.90938       -0.00002            1.0        0.00000        0.00000
    8815.0      177.99932        0.49312       -0.00002            1.0        0.00000        0.00000
    8816.0      177.99727        0.98624       -0.00006            3.0        9.04286        0.00004
    8817.0      177.99385        1.47936       -0.00026            3.0       10.97558        0.00003
    8818.0      177.98907        1.97246       -0.00056            3.0       11.30192        0.00004
