   节点编号          X坐标          Y坐标          Z坐标          接触状态          接触压力          接触间隙
    6403.0      167.80900       14.68138       -0.01953            3.0       18.38701        0.00015
    6405.0      174.38388       15.25661       -0.02837            3.0       29.44334        0.00028
    6406.0      167.80285       15.17457       -0.01956            3.0       18.45284        0.00015
    6407.0      167.87027       15.66315       -0.01968            3.0       18.62385        0.00015
    6408.0      168.00977       16.13624       -0.01982            3.0       18.86070        0.00015
    6409.0      168.21821       16.58324       -0.02007            3.0       19.17704        0.00016
    6410.0      168.49095       16.99419       -0.02040            3.0       19.62968        0.00016
    6411.0      168.82189       17.35990       -0.02075            3.0       20.13553        0.00017
    6412.0      169.20364       17.67220       -0.02117            3.0       20.73475        0.00017
    6413.0      169.62767       17.92412       -0.02165            3.0       21.45490        0.00018
    6414.0      170.08451       18.11002       -0.02219            3.0       22.16774        0.00019
    6415.0      170.56396       18.22576       -0.02277            3.0       21.55726        0.00021
    6416.0      171.05530       18.26874       -0.02342            3.0       20.36069        0.00023
    6417.0      171.54756       18.23802       -0.02405            3.0       25.13884        0.00022
    6418.0      172.02974       18.13427       -0.02474            3.0       25.42283        0.00023
    6419.0      172.49108       17.95981       -0.02543            3.0       26.23798        0.00024
    6420.0      172.92126       17.71855       -0.02609            3.0       27.02150        0.00025
    6421.0      173.31068       17.41586       -0.02674            3.0       27.72041        0.00026
    6422.0      173.65063       17.05852       -0.02723            3.0       28.29274        0.00026
    6423.0      173.93353       16.65450       -0.02772            3.0       28.79242        0.00027
    6424.0      174.15305       16.21283       -0.02807            3.0       29.14761        0.00027
    6425.0      174.30430       15.74337       -0.02830            3.0       29.37144        0.00028
    8778.0      167.88858       14.19463       -0.01955            3.0       18.43527        0.00015
    8779.0      168.03982       13.72517       -0.01969            3.0       18.59727        0.00015
    8780.0      168.25935       13.28350       -0.01983            3.0       18.83694        0.00015
    8781.0      168.54225       12.87948       -0.02007            3.0       19.18677        0.00016
    8782.0      168.88220       12.52213       -0.02040            3.0       19.62303        0.00016
    8783.0      169.27162       12.21945       -0.02075            3.0       20.15762        0.00017
    8784.0      169.70180       11.97818       -0.02118            3.0       20.63266        0.00017
    8785.0      170.16313       11.80373       -0.02166            3.0       21.96215        0.00018
    8786.0      170.64532       11.69998       -0.02220            3.0       20.63412        0.00020
    8787.0      171.13758       11.66926       -0.02277            3.0       21.58353        0.00021
    8788.0      171.62892       11.71224       -0.02343            3.0       17.89246        0.00024
    8789.0      172.10837       11.82798       -0.02407            3.0       22.85226        0.00023
    8790.0      172.56521       12.01388       -0.02475            3.0       23.35720        0.00024
    8791.0      172.98924       12.26580       -0.02543            3.0       25.40234        0.00024
    8792.0      173.37099       12.57810       -0.02608            3.0       26.72395        0.00025
    8793.0      173.70193       12.94381       -0.02673            3.0       27.59130        0.00026
    8794.0      173.97467       13.35475       -0.02723            3.0       28.38454        0.00026
    8795.0      174.18311       13.80176       -0.02773            3.0       28.75869        0.00027
    8796.0      174.32261       14.27484       -0.02809            3.0       29.16367        0.00027
    8797.0      174.39003       14.76343       -0.02830            3.0       29.36933        0.00028
    8813.0      178.00000        0.00000       -0.00157            3.0       16.65301        0.00012
    8814.0      175.29578       30.90938       -0.00157            3.0       16.65322        0.00012
    8815.0      177.99932        0.49312       -0.00163            3.0       16.71425        0.00012
    8816.0      177.99727        0.98624       -0.00180            3.0       16.85988        0.00012
    8817.0      177.99385        1.47936       -0.00209            3.0       17.10135        0.00013
    8818.0      177.98907        1.97246       -0.00249            3.0       17.44555        0.00013
    8819.0      177.98292        2.46555       -0.00300            3.0       17.87096        0.00014
    8820.0      177.97541        2.95861       -0.00360            3.0       18.36965        0.00014
    8821.0      177.96653        3.45166       -0.00433            3.0       18.96712        0.00015
    8822.0      177.95629        3.94468       -0.00515            3.0       19.63117        0.00016
    8823.0      177.94467        4.43766       -0.00607            3.0       20.35902        0.00017
    8824.0      177.93170        4.93062       -0.00708            3.0       21.13836        0.00018
    8825.0      177.91736        5.42353       -0.00818            3.0       21.96197        0.00019
    8826.0      177.90165        5.91641       -0.00935            3.0       22.82798        0.00020
    8827.0      177.88457        6.40924       -0.01060            3.0       23.71410        0.00021
    8828.0      177.86614        6.90202       -0.01192            3.0       24.63514        0.00022
    8829.0      177.84633        7.39474       -0.01329            3.0       25.54555        0.00023
    8830.0      177.82516        7.88741       -0.01470            3.0       26.46179        0.00024
    8831.0      177.80263        8.38002       -0.01616            3.0       27.36893        0.00025
    8832.0      177.77873        8.87257       -0.01762            3.0       28.25062        0.00026
    8833.0      177.75347        9.36504       -0.01908            3.0       29.09419        0.00027
    8834.0      177.72684        9.85745       -0.02053            3.0       29.89686        0.00028
    8835.0      177.69885       10.34978       -0.02195            3.0       30.66017        0.00029
    8836.0      177.66950       10.84203       -0.02333            3.0       31.37324        0.00030
    8837.0      177.63878       11.33420       -0.02462            3.0       32.01679        0.00031
    8838.0      177.60670       11.82628       -0.02583            3.0       32.58812        0.00031
    8839.0      177.57325       12.31827       -0.02695            3.0       33.10183        0.00032
