   节点编号          X坐标          Y坐标          Z坐标          接触状态          接触压力          接触间隙
    6403.0      167.80900       14.68138       -0.01606            3.0       21.76174        0.00008
    6405.0      174.38388       15.25661       -0.02199            3.0       35.65201        0.00015
    6406.0      167.80285       15.17457       -0.01607            3.0       21.82848        0.00008
    6407.0      167.87027       15.66315       -0.01615            3.0       22.01826        0.00008
    6408.0      168.00977       16.13624       -0.01624            3.0       22.29715        0.00008
    6409.0      168.21821       16.58324       -0.01640            3.0       22.68904        0.00008
    6410.0      168.49095       16.99419       -0.01661            3.0       23.22758        0.00008
    6411.0      168.82189       17.35990       -0.01683            3.0       23.84926        0.00009
    6412.0      169.20364       17.67220       -0.01710            3.0       24.57217        0.00009
    6413.0      169.62767       17.92412       -0.01740            3.0       25.40787        0.00010
    6414.0      170.08451       18.11002       -0.01775            3.0       26.31671        0.00010
    6415.0      170.56396       18.22576       -0.01812            3.0       27.18255        0.00011
    6416.0      171.05530       18.26874       -0.01854            3.0       28.08497        0.00011
    6417.0      171.54756       18.23802       -0.01897            3.0       29.42714        0.00012
    6418.0      172.02974       18.13427       -0.01943            3.0       30.45141        0.00012
    6419.0      172.49108       17.95981       -0.01990            3.0       31.50551        0.00013
    6420.0      172.92126       17.71855       -0.02036            3.0       32.48854        0.00013
    6421.0      173.31068       17.41586       -0.02081            3.0       33.41199        0.00014
    6422.0      173.65063       17.05852       -0.02115            3.0       34.14192        0.00014
    6423.0      173.93353       16.65450       -0.02151            3.0       34.79868        0.00014
    6424.0      174.15305       16.21283       -0.02176            3.0       35.26349        0.00015
    6425.0      174.30430       15.74337       -0.02194            3.0       35.55848        0.00015
    8778.0      167.88858       14.19463       -0.01606            3.0       21.81469        0.00008
    8779.0      168.03982       13.72517       -0.01617            3.0       22.00589        0.00008
    8780.0      168.25935       13.28350       -0.01625            3.0       22.28688        0.00008
    8781.0      168.54225       12.87948       -0.01640            3.0       22.69596        0.00008
    8782.0      168.88220       12.52213       -0.01661            3.0       23.22815        0.00008
    8783.0      169.27162       12.21945       -0.01683            3.0       23.85302        0.00009
    8784.0      169.70180       11.97818       -0.01711            3.0       24.57498        0.00009
    8785.0      170.16313       11.80373       -0.01742            3.0       25.44862        0.00010
    8786.0      170.64532       11.69998       -0.01776            3.0       26.23141        0.00010
    8787.0      171.13758       11.66926       -0.01812            3.0       27.14826        0.00011
    8788.0      171.62892       11.71224       -0.01855            3.0       27.83633        0.00012
    8789.0      172.10837       11.82798       -0.01898            3.0       29.29568        0.00012
    8790.0      172.56521       12.01388       -0.01944            3.0       30.32557        0.00012
    8791.0      172.98924       12.26580       -0.01990            3.0       31.46361        0.00013
    8792.0      173.37099       12.57810       -0.02035            3.0       32.47294        0.00013
    8793.0      173.70193       12.94381       -0.02081            3.0       33.40176        0.00014
    8794.0      173.97467       13.35475       -0.02116            3.0       34.15205        0.00014
    8795.0      174.18311       13.80176       -0.02152            3.0       34.80600        0.00014
    8796.0      174.32261       14.27484       -0.02178            3.0       35.28196        0.00015
    8797.0      174.39003       14.76343       -0.02193            3.0       35.55641        0.00015
    8813.0      178.00000        0.00000       -0.00002            1.0        0.00000        0.00000
    8814.0      175.29578       30.90938       -0.00002            1.0        0.00000        0.00000
    8815.0      177.99932        0.49312       -0.00002            1.0        0.00000        0.00000
    8816.0      177.99727        0.98624       -0.00002            1.0        0.00000        0.00000
    8817.0      177.99385        1.47936       -0.00008            3.0        9.92514        0.00002
    8818.0      177.98907        1.97246       -0.00036            3.0       10.63956        0.00002
    8819.0      177.98292        2.46555       -0.00071            3.0       11.62947        0.00002
    8820.0      177.97541        2.95861       -0.00113            3.0       12.72642        0.00003
    8821.0      177.96653        3.45166       -0.00166            3.0       13.92863        0.00004
    8822.0      177.95629        3.94468       -0.00226            3.0       15.21448        0.00004
    8823.0      177.94467        4.43766       -0.00294            3.0       16.58664        0.00005
    8824.0      177.93170        4.93062       -0.00369            3.0       18.03331        0.00006
    8825.0      177.91736        5.42353       -0.00452            3.0       19.53787        0.00007
    8826.0      177.90165        5.91641       -0.00541            3.0       21.10950        0.00007
    8827.0      177.88457        6.40924       -0.00637            3.0       22.70545        0.00008
    8828.0      177.86614        6.90202       -0.00740            3.0       24.35176        0.00009
    8829.0      177.84633        7.39474       -0.00846            3.0       25.97853        0.00010
    8830.0      177.82516        7.88741       -0.00958            3.0       27.60793        0.00011
    8831.0      177.80263        8.38002       -0.01075            3.0       29.21414        0.00011
    8832.0      177.77873        8.87257       -0.01193            3.0       30.76819        0.00012
    8833.0      177.75347        9.36504       -0.01312            3.0       32.25512        0.00013
    8834.0      177.72684        9.85745       -0.01431            3.0       33.67244        0.00014
    8835.0      177.69885       10.34978       -0.01549            3.0       35.01802        0.00014
    8836.0      177.66950       10.84203       -0.01664            3.0       36.27237        0.00015
    8837.0      177.63878       11.33420       -0.01773            3.0       37.40690        0.00016
    8838.0      177.60670       11.82628       -0.01875            3.0       38.41076        0.00016
    8839.0      177.57325       12.31827       -0.01971            3.0       39.31782        0.00017
    8840.0      177.53845       12.81016       -0.02056            3.0       40.10722        0.00017
    8841.0      177.50228       13.30196       -0.02129            3.0       40.77442        0.00017
    8842.0      177.46474       13.79365       -0.02190            3.0       41.31778        0.00018
    8843.0      177.42585       14.28524       -0.02236            3.0       41.72996        0.00018
    8844.0      177.38559       14.77672       -0.02267            3.0       41.99368        0.00018
    8845.0      177.34398       15.26808       -0.02283            3.0       42.13391        0.00018
    8846.0      177.30100       15.75933       -0.02284            3.0       42.13918        0.00018
    8847.0      177.25666       16.25046       -0.02267            3.0       41.99732        0.00018
    8848.0      177.21096       16.74146       -0.02237            3.0       41.72783        0.00018
    8849.0      177.16390       17.23233       -0.02189            3.0       41.31010        0.00018
    8850.0      177.11548       17.72308       -0.02128            3.0       40.77861        0.00017
    8851.0      177.06570       18.21368       -0.02055            3.0       40.11609        0.00017
    8852.0      177.01456       18.70415       -0.01970            3.0       39.32494        0.00017
    8853.0      176.96206       19.19447       -0.01876            3.0       38.41199        0.00016
    8854.0      176.90821       19.68465       -0.01772            3.0       37.38982        0.00016
    8855.0      176.85300       20.17467       -0.01664            3.0       36.25760        0.00015
    8856.0      176.79643       20.66454       -0.01549            3.0       35.01430        0.00014
    8857.0      176.73850       21.15425       -0.01431            3.0       33.67704        0.00014
    8858.0      176.67922       21.64380       -0.01312            3.0       32.25885        0.00013
    8859.0      176.61858       22.13318       -0.01193            3.0       30.76675        0.00012
    8860.0      176.55658       22.62239       -0.01075            3.0       29.21634        0.00011
    8861.0      176.49323       23.11143       -0.00959            3.0       27.61313        0.00011
    8862.0      176.42853       23.60029       -0.00847            3.0       25.99098        0.00010
    8863.0      176.36247       24.08897       -0.00740            3.0       24.35265        0.00009
    8864.0      176.29506       24.57747       -0.00638            3.0       22.72024        0.00008
    8865.0      176.22629       25.06577       -0.00542            3.0       21.11079        0.00007
    8866.0      176.15618       25.55389       -0.00452            3.0       19.53309        0.00007
    8867.0      176.08471       26.04181       -0.00369            3.0       18.03203        0.00006
    8868.0      176.01189       26.52952       -0.00294            3.0       16.59010        0.00005
    8869.0      175.93772       27.01704       -0.00226            3.0       15.20411        0.00004
    8870.0      175.86219       27.50435       -0.00166            3.0       13.91714        0.00004
    8871.0      175.78532       27.99144       -0.00114            3.0       12.70739        0.00003
    8872.0      175.70710       28.47832       -0.00071            3.0       11.60641        0.00002
    8873.0      175.62753       28.96499       -0.00035            3.0       10.58776        0.00002
    8874.0      175.54661       29.45143       -0.00009            3.0        9.80462        0.00002
    8875.0      175.46435       29.93764       -0.00002            1.0        0.00000        0.00000
    8876.0      175.38074       30.42362       -0.00002            1.0        0.00000        0.00000
    8877.0      160.00000        0.00000        0.00000            1.0        0.00000        0.00000
    8878.0      177.50000        0.00000       -0.00000            1.0        0.00000        0.00000
    8879.0      177.00000        0.00000       -0.00012            3.0        9.42263        0.00001
    8880.0      176.50000        0.00000       -0.00026            3.0        9.61932        0.00001
