   节点编号          X坐标          Y坐标          Z坐标          接触状态          接触压力          接触间隙
    6403.0      167.80900       14.68138       -0.01927            3.0       18.70371        0.00012
    6405.0      174.38388       15.25661       -0.02786            3.0       29.91213        0.00023
    6406.0      167.80285       15.17457       -0.01929            3.0       18.75415        0.00012
    6407.0      167.87027       15.66315       -0.01941            3.0       18.90870        0.00012
    6408.0      168.00977       16.13624       -0.01955            3.0       19.14401        0.00013
    6409.0      168.21821       16.58324       -0.01979            3.0       19.48051        0.00013
    6410.0      168.49095       16.99419       -0.02011            3.0       19.92181        0.00013
    6411.0      168.82189       17.35990       -0.02044            3.0       20.43609        0.00014
    6412.0      169.20364       17.67220       -0.02085            3.0       21.03462        0.00015
    6413.0      169.62767       17.92412       -0.02132            3.0       21.72449        0.00015
    6414.0      170.08451       18.11002       -0.02185            3.0       22.46418        0.00016
    6415.0      170.56396       18.22576       -0.02240            3.0       22.99388        0.00017
    6416.0      171.05530       18.26874       -0.02302            3.0       23.45946        0.00018
    6417.0      171.54756       18.23802       -0.02365            3.0       25.04915        0.00018
    6418.0      172.02974       18.13427       -0.02432            3.0       25.80083        0.00019
    6419.0      172.49108       17.95981       -0.02499            3.0       26.63725        0.00020
    6420.0      172.92126       17.71855       -0.02563            3.0       27.42184        0.00021
    6421.0      173.31068       17.41586       -0.02626            3.0       28.14511        0.00021
    6422.0      173.65063       17.05852       -0.02674            3.0       28.73083        0.00022
    6423.0      173.93353       16.65450       -0.02722            3.0       29.24305        0.00022
    6424.0      174.15305       16.21283       -0.02756            3.0       29.60845        0.00023
    6425.0      174.30430       15.74337       -0.02779            3.0       29.83834        0.00023
    8778.0      167.88858       14.19463       -0.01928            3.0       18.74798        0.00012
    8779.0      168.03982       13.72517       -0.01942            3.0       18.90495        0.00012
    8780.0      168.25935       13.28350       -0.01956            3.0       19.14098        0.00013
    8781.0      168.54225       12.87948       -0.01979            3.0       19.48303        0.00013
    8782.0      168.88220       12.52213       -0.02010            3.0       19.92042        0.00013
    8783.0      169.27162       12.21945       -0.02044            3.0       20.44107        0.00014
    8784.0      169.70180       11.97818       -0.02086            3.0       21.02049        0.00015
    8785.0      170.16313       11.80373       -0.02133            3.0       21.82248        0.00015
    8786.0      170.64532       11.69998       -0.02185            3.0       22.17016        0.00016
    8787.0      171.13758       11.66926       -0.02240            3.0       23.02677        0.00017
    8788.0      171.62892       11.71224       -0.02303            3.0       23.06041        0.00018
    8789.0      172.10837       11.82798       -0.02366            3.0       24.61122        0.00018
    8790.0      172.56521       12.01388       -0.02433            3.0       25.41783        0.00019
    8791.0      172.98924       12.26580       -0.02499            3.0       26.48097        0.00020
    8792.0      173.37099       12.57810       -0.02563            3.0       27.36187        0.00021
    8793.0      173.70193       12.94381       -0.02626            3.0       28.11882        0.00021
    8794.0      173.97467       13.35475       -0.02675            3.0       28.75006        0.00022
