   节点编号          X坐标          Y坐标          Z坐标          接触状态          接触压力          接触间隙
    6403.0      167.80900       14.68138       -0.01039            3.0       30.67139        0.00014
    6405.0      174.38388       15.25661       -0.01260            3.0       46.93812        0.00023
    6406.0      167.80285       15.17457       -0.01039            3.0       30.84674        0.00014
    6407.0      167.87027       15.66315       -0.01042            3.0       31.12937        0.00014
    6408.0      168.00977       16.13624       -0.01044            3.0       31.27869        0.00015
    6409.0      168.21821       16.58324       -0.01049            3.0       31.55689        0.00015
    6410.0      168.49095       16.99419       -0.01057            3.0       32.15276        0.00015
    6411.0      168.82189       17.35990       -0.01063            3.0       32.82571        0.00016
    6412.0      169.20364       17.67220       -0.01071            3.0       33.64630        0.00016
    6413.0      169.62767       17.92412       -0.01080            3.0       34.51925        0.00016
    6414.0      170.08451       18.11002       -0.01091            3.0       35.47862        0.00017
    6415.0      170.56396       18.22576       -0.01103            3.0       36.54501        0.00017
    6416.0      171.05530       18.26874       -0.01117            3.0       37.42905        0.00018
    6417.0      171.54756       18.23802       -0.01132            3.0       39.12703        0.00019
    6418.0      172.02974       18.13427       -0.01149            3.0       40.25895        0.00019
    6419.0      172.49108       17.95981       -0.01167            3.0       41.55877        0.00020
    6420.0      172.92126       17.71855       -0.01186            3.0       42.77684        0.00021
    6421.0      173.31068       17.41586       -0.01206            3.0       43.96404        0.00021
    6422.0      173.65063       17.05852       -0.01220            3.0       44.87458        0.00022
    6423.0      173.93353       16.65450       -0.01236            3.0       45.77281        0.00022
    6424.0      174.15305       16.21283       -0.01248            3.0       46.39769        0.00022
    6425.0      174.30430       15.74337       -0.01257            3.0       46.80634        0.00023
    8778.0      167.88858       14.19463       -0.01038            3.0       30.84340        0.00014
    8779.0      168.03982       13.72517       -0.01043            3.0       30.96388        0.00014
    8780.0      168.25935       13.28350       -0.01045            3.0       31.33794        0.00014
    8781.0      168.54225       12.87948       -0.01050            3.0       31.55090        0.00015
    8782.0      168.88220       12.52213       -0.01057            3.0       32.18354        0.00015
    8783.0      169.27162       12.21945       -0.01063            3.0       32.86356        0.00015
    8784.0      169.70180       11.97818       -0.01071            3.0       33.63996        0.00016
    8785.0      170.16313       11.80373       -0.01081            3.0       34.60773        0.00016
    8786.0      170.64532       11.69998       -0.01092            3.0       35.34385        0.00017
    8787.0      171.13758       11.66926       -0.01103            3.0       36.57697        0.00017
    8788.0      171.62892       11.71224       -0.01117            3.0       37.32760        0.00018
    8789.0      172.10837       11.82798       -0.01132            3.0       39.11153        0.00019
    8790.0      172.56521       12.01388       -0.01149            3.0       40.25367        0.00019
    8791.0      172.98924       12.26580       -0.01167            3.0       41.55643        0.00020
    8792.0      173.37099       12.57810       -0.01186            3.0       42.76939        0.00021
    8793.0      173.70193       12.94381       -0.01205            3.0       43.95472        0.00021
    8794.0      173.97467       13.35475       -0.01220            3.0       44.90619        0.00022
    8795.0      174.18311       13.80176       -0.01237            3.0       45.78392        0.00022
    8796.0      174.32261       14.27484       -0.01249            3.0       46.43409        0.00022
    8797.0      174.39003       14.76343       -0.01257            3.0       46.80473        0.00023
    8813.0      178.00000        0.00000       -0.00002            1.0        0.00000        0.00000
    8814.0      175.29578       30.90938       -0.00002            1.0        0.00000        0.00000
    8815.0      177.99932        0.49312       -0.00002            1.0        0.00000        0.00000
    8816.0      177.99727        0.98624       -0.00002            1.0        0.00000        0.00000
    8817.0      177.99385        1.47936       -0.00002            1.0        0.00000        0.00000
    8818.0      177.98907        1.97246       -0.00002            1.0        0.00000        0.00000
    8819.0      177.98292        2.46555       -0.00001            1.0        0.00000        0.00000
    8820.0      177.97541        2.95861       -0.00001            1.0        0.00000        0.00000
    8821.0      177.96653        3.45166       -0.00001            1.0        0.00000        0.00000
    8822.0      177.95629        3.94468       -0.00001            1.0        0.00000        0.00000
    8823.0      177.94467        4.43766       -0.00013            3.0       10.66326        0.00003
    8824.0      177.93170        4.93062       -0.00044            3.0       12.09244        0.00004
    8825.0      177.91736        5.42353       -0.00080            3.0       14.33802        0.00006
    8826.0      177.90165        5.91641       -0.00120            3.0       16.68256        0.00007
    8827.0      177.88457        6.40924       -0.00166            3.0       19.26158        0.00008
    8828.0      177.86614        6.90202       -0.00217            3.0       21.89581        0.00009
    8829.0      177.84633        7.39474       -0.00272            3.0       24.36009        0.00011
    8830.0      177.82516        7.88741       -0.00332            3.0       27.17899        0.00012
    8831.0      177.80263        8.38002       -0.00397            3.0       29.83774        0.00014
    8832.0      177.77873        8.87257       -0.00465            3.0       32.54909        0.00015
    8833.0      177.75347        9.36504       -0.00535            3.0       35.17104        0.00016
    8834.0      177.72684        9.85745       -0.00607            3.0       37.72437        0.00018
    8835.0      177.69885       10.34978       -0.00681            3.0       40.19645        0.00019
    8836.0      177.66950       10.84203       -0.00754            3.0       42.54232        0.00020
    8837.0      177.63878       11.33420       -0.00825            3.0       44.69611        0.00021
    8838.0      177.60670       11.82628       -0.00893            3.0       46.63817        0.00022
    8839.0      177.57325       12.31827       -0.00957            3.0       48.40832        0.00023
    8840.0      177.53845       12.81016       -0.01015            3.0       49.96691        0.00024
    8841.0      177.50228       13.30196       -0.01066            3.0       51.29687        0.00025
    8842.0      177.46474       13.79365       -0.01108            3.0       52.38580        0.00025
    8843.0      177.42585       14.28524       -0.01140            3.0       53.21740        0.00026
    8844.0      177.38559       14.77672       -0.01161            3.0       53.75172        0.00026
    8845.0      177.34398       15.26808       -0.01173            3.0       54.03524        0.00026
    8846.0      177.30100       15.75933       -0.01173            3.0       54.04645        0.00026
    8847.0      177.25666       16.25046       -0.01162            3.0       53.76106        0.00026
    8848.0      177.21096       16.74146       -0.01141            3.0       53.21726        0.00026
    8849.0      177.16390       17.23233       -0.01107            3.0       52.37385        0.00025
    8850.0      177.11548       17.72308       -0.01065            3.0       51.30860        0.00025
    8851.0      177.06570       18.21368       -0.01015            3.0       49.98952        0.00024
    8852.0      177.01456       18.70415       -0.00957            3.0       48.42721        0.00023
