   节点编号          X坐标          Y坐标          Z坐标          接触状态          接触压力          接触间隙
    6403.0      167.80900       14.68138       -0.01528            3.0       22.83923        0.00013
    6405.0      174.38388       15.25661       -0.02059            3.0       37.16768        0.00025
    6406.0      167.80285       15.17457       -0.01529            3.0       22.96465        0.00013
    6407.0      167.87027       15.66315       -0.01536            3.0       23.21001        0.00013
    6408.0      168.00977       16.13624       -0.01543            3.0       23.48183        0.00014
    6409.0      168.21821       16.58324       -0.01558            3.0       23.77649        0.00014
    6410.0      168.49095       16.99419       -0.01577            3.0       24.33844        0.00014
    6411.0      168.82189       17.35990       -0.01596            3.0       24.96493        0.00015
    6412.0      169.20364       17.67220       -0.01620            3.0       25.70025        0.00016
    6413.0      169.62767       17.92412       -0.01646            3.0       26.56306        0.00016
    6414.0      170.08451       18.11002       -0.01677            3.0       27.48458        0.00017
    6415.0      170.56396       18.22576       -0.01710            3.0       28.12061        0.00018
    6416.0      171.05530       18.26874       -0.01747            3.0       28.65904        0.00019
    6417.0      171.54756       18.23802       -0.01785            3.0       30.79989        0.00020
    6418.0      172.02974       18.13427       -0.01826            3.0       31.74634        0.00021
    6419.0      172.49108       17.95981       -0.01868            3.0       32.84193        0.00021
    6420.0      172.92126       17.71855       -0.01910            3.0       33.86751        0.00022
    6421.0      173.31068       17.41586       -0.01951            3.0       34.82842        0.00023
    6422.0      173.65063       17.05852       -0.01982            3.0       35.58773        0.00024
    6423.0      173.93353       16.65450       -0.02015            3.0       36.27491        0.00024
    6424.0      174.15305       16.21283       -0.02038            3.0       36.76075        0.00025
    6425.0      174.30430       15.74337       -0.02054            3.0       37.06961        0.00025
    8778.0      167.88858       14.19463       -0.01528            3.0       22.89851        0.00013
    8779.0      168.03982       13.72517       -0.01537            3.0       23.09990        0.00013
    8780.0      168.25935       13.28350       -0.01545            3.0       23.38779        0.00014
    8781.0      168.54225       12.87948       -0.01558            3.0       23.80339        0.00014
    8782.0      168.88220       12.52213       -0.01577            3.0       24.34648        0.00014
    8783.0      169.27162       12.21945       -0.01596            3.0       24.97667        0.00015
    8784.0      169.70180       11.97818       -0.01620            3.0       25.70896        0.00016
    8785.0      170.16313       11.80373       -0.01647            3.0       26.67614        0.00016
    8786.0      170.64532       11.69998       -0.01678            3.0       27.14411        0.00017
    8787.0      171.13758       11.66926       -0.01710            3.0       28.22296        0.00018
    8788.0      171.62892       11.71224       -0.01748            3.0       28.26628        0.00019
    8789.0      172.10837       11.82798       -0.01786            3.0       30.30969        0.00020
    8790.0      172.56521       12.01388       -0.01827            3.0       31.34247        0.00021
    8791.0      172.98924       12.26580       -0.01869            3.0       32.72679        0.00022
    8792.0      173.37099       12.57810       -0.01909            3.0       33.83672        0.00022
    8793.0      173.70193       12.94381       -0.01951            3.0       34.80543        0.00023
    8794.0      173.97467       13.35475       -0.01982            3.0       35.60764        0.00024
    8795.0      174.18311       13.80176       -0.02015            3.0       36.27965        0.00024
    8796.0      174.32261       14.27484       -0.02039            3.0       36.78152        0.00025
    8797.0      174.39003       14.76343       -0.02053            3.0       37.06741        0.00025
    8813.0      178.00000        0.00000       -0.00002            1.0        0.00000        0.00000
    8814.0      175.29578       30.90938       -0.00002            1.0        0.00000        0.00000
    8815.0      177.99932        0.49312       -0.00002            1.0        0.00000        0.00000
    8816.0      177.99727        0.98624       -0.00002            1.0        0.00000        0.00000
    8817.0      177.99385        1.47936       -0.00002            1.0        0.00000        0.00000
    8818.0      177.98907        1.97246       -0.00012            3.0        9.66930        0.00002
    8819.0      177.98292        2.46555       -0.00043            3.0       10.49340        0.00002
    8820.0      177.97541        2.95861       -0.00081            3.0       11.53766        0.00003
    8821.0      177.96653        3.45166       -0.00127            3.0       12.82726        0.00005
    8822.0      177.95629        3.94468       -0.00182            3.0       14.22533        0.00006
    8823.0      177.94467        4.43766       -0.00243            3.0       15.73382        0.00007
    8824.0      177.93170        4.93062       -0.00312            3.0       17.33491        0.00008
    8825.0      177.91736        5.42353       -0.00387            3.0       19.00025        0.00010
    8826.0      177.90165        5.91641       -0.00470            3.0       20.73573        0.00011
    8827.0      177.88457        6.40924       -0.00558            3.0       22.49894        0.00013
    8828.0      177.86614        6.90202       -0.00653            3.0       24.31164        0.00014
    8829.0      177.84633        7.39474       -0.00752            3.0       26.10237        0.00016
    8830.0      177.82516        7.88741       -0.00857            3.0       27.89439        0.00017
    8831.0      177.80263        8.38002       -0.00966            3.0       29.66079        0.00019
    8832.0      177.77873        8.87257       -0.01077            3.0       31.36962        0.00020
    8833.0      177.75347        9.36504       -0.01189            3.0       33.00458        0.00021
    8834.0      177.72684        9.85745       -0.01301            3.0       34.56131        0.00023
    8835.0      177.69885       10.34978       -0.01413            3.0       36.04258        0.00024
    8836.0      177.66950       10.84203       -0.01522            3.0       37.42136        0.00025
