   节点编号          X坐标          Y坐标          Z坐标          接触状态          接触压力          接触间隙
    6403.0      167.80900       14.68138       -0.01188            3.0       27.55486        0.00028
    6405.0      174.38388       15.25661       -0.01499            3.0       43.46699        0.00045
    6406.0      167.80285       15.17457       -0.01189            3.0       26.78952        0.00028
    6407.0      167.87027       15.66315       -0.01193            3.0       26.36531        0.00029
    6408.0      168.00977       16.13624       -0.01196            3.0       27.10312        0.00029
    6409.0      168.21821       16.58324       -0.01204            3.0       28.66372        0.00029
    6410.0      168.49095       16.99419       -0.01215            3.0       29.13212        0.00030
    6411.0      168.82189       17.35990       -0.01224            3.0       29.79746        0.00030
    6412.0      169.20364       17.67220       -0.01237            3.0       30.50655        0.00031
    6413.0      169.62767       17.92412       -0.01251            3.0       31.44042        0.00032
    6414.0      170.08451       18.11002       -0.01268            3.0       32.64978        0.00033
    6415.0      170.56396       18.22576       -0.01285            3.0       33.95926        0.00034
    6416.0      171.05530       18.26874       -0.01305            3.0       36.67132        0.00035
    6417.0      171.54756       18.23802       -0.01328            3.0       35.41497        0.00037
    6418.0      172.02974       18.13427       -0.01351            3.0       37.21950        0.00038
    6419.0      172.49108       17.95981       -0.01377            3.0       38.37646        0.00039
    6420.0      172.92126       17.71855       -0.01402            3.0       39.55550        0.00041
    6421.0      173.31068       17.41586       -0.01429            3.0       40.68537        0.00042
    6422.0      173.65063       17.05852       -0.01448            3.0       41.59677        0.00043
    6423.0      173.93353       16.65450       -0.01469            3.0       42.37495        0.00044
    6424.0      174.15305       16.21283       -0.01485            3.0       42.97228        0.00044
    6425.0      174.30430       15.74337       -0.01496            3.0       43.34620        0.00045
    8778.0      167.88858       14.19463       -0.01188            3.0       27.55562        0.00028
    8779.0      168.03982       13.72517       -0.01194            3.0       27.82268        0.00028
    8780.0      168.25935       13.28350       -0.01197            3.0       27.89945        0.00029
    8781.0      168.54225       12.87948       -0.01204            3.0       28.57448        0.00029
    8782.0      168.88220       12.52213       -0.01215            3.0       29.07645        0.00030
    8783.0      169.27162       12.21945       -0.01225            3.0       29.72462        0.00030
    8784.0      169.70180       11.97818       -0.01237            3.0       30.57572        0.00031
    8785.0      170.16313       11.80373       -0.01252            3.0       31.18776        0.00032
    8786.0      170.64532       11.69998       -0.01268            3.0       33.34032        0.00033
    8787.0      171.13758       11.66926       -0.01285            3.0       34.04734        0.00034
    8788.0      171.62892       11.71224       -0.01305            3.0       37.77133        0.00034
    8789.0      172.10837       11.82798       -0.01328            3.0       35.62403        0.00037
    8790.0      172.56521       12.01388       -0.01352            3.0       37.47302        0.00038
