   节点编号          X坐标          Y坐标          Z坐标          接触状态          接触压力          接触间隙
    6403.0      167.80900       14.68138       -0.01464            3.0       23.81773        0.00011
    6405.0      174.38388       15.25661       -0.01946            3.0       38.42809        0.00019
    6406.0      167.80285       15.17457       -0.01465            3.0       23.78570        0.00011
    6407.0      167.87027       15.66315       -0.01472            3.0       23.89173        0.00012
    6408.0      168.00977       16.13624       -0.01478            3.0       24.18876        0.00012
    6409.0      168.21821       16.58324       -0.01491            3.0       24.76009        0.00012
    6410.0      168.49095       16.99419       -0.01508            3.0       25.28820        0.00012
    6411.0      168.82189       17.35990       -0.01525            3.0       25.93111        0.00012
    6412.0      169.20364       17.67220       -0.01546            3.0       26.67776        0.00013
    6413.0      169.62767       17.92412       -0.01570            3.0       27.52479        0.00013
    6414.0      170.08451       18.11002       -0.01598            3.0       28.49070        0.00014
    6415.0      170.56396       18.22576       -0.01626            3.0       29.82004        0.00014
    6416.0      171.05530       18.26874       -0.01660            3.0       31.44219        0.00014
    6417.0      171.54756       18.23802       -0.01695            3.0       31.56264        0.00015
    6418.0      172.02974       18.13427       -0.01732            3.0       32.84655        0.00016
    6419.0      172.49108       17.95981       -0.01771            3.0       33.96413        0.00016
    6420.0      172.92126       17.71855       -0.01809            3.0       35.01097        0.00017
    6421.0      173.31068       17.41586       -0.01847            3.0       36.00621        0.00017
    6422.0      173.65063       17.05852       -0.01875            3.0       36.78724        0.00018
    6423.0      173.93353       16.65450       -0.01905            3.0       37.49994        0.00018
    6424.0      174.15305       16.21283       -0.01927            3.0       38.00381        0.00018
    6425.0      174.30430       15.74337       -0.01941            3.0       38.32511        0.00018
    8778.0      167.88858       14.19463       -0.01464            3.0       23.86450        0.00011
    8779.0      168.03982       13.72517       -0.01473            3.0       24.05098        0.00011
    8780.0      168.25935       13.28350       -0.01479            3.0       24.32532        0.00011
    8781.0      168.54225       12.87948       -0.01491            3.0       24.73161        0.00012
    8782.0      168.88220       12.52213       -0.01508            3.0       25.26912        0.00012
    8783.0      169.27162       12.21945       -0.01525            3.0       25.90387        0.00012
    8784.0      169.70180       11.97818       -0.01547            3.0       26.69049        0.00013
    8785.0      170.16313       11.80373       -0.01571            3.0       27.48460        0.00013
    8786.0      170.64532       11.69998       -0.01598            3.0       28.75031        0.00013
    8787.0      171.13758       11.66926       -0.01627            3.0       29.49933        0.00014
    8788.0      171.62892       11.71224       -0.01661            3.0       31.54682        0.00014
    8789.0      172.10837       11.82798       -0.01695            3.0       31.93054        0.00015
    8790.0      172.56521       12.01388       -0.01733            3.0       33.21494        0.00015
    8791.0      172.98924       12.26580       -0.01771            3.0       34.04648        0.00016
    8792.0      173.37099       12.57810       -0.01808            3.0       35.01824        0.00017
    8793.0      173.70193       12.94381       -0.01846            3.0       36.01961        0.00017
    8794.0      173.97467       13.35475       -0.01875            3.0       36.78407        0.00018
    8795.0      174.18311       13.80176       -0.01906            3.0       37.51561        0.00018
    8796.0      174.32261       14.27484       -0.01928            3.0       38.02584        0.00018
    8797.0      174.39003       14.76343       -0.01941            3.0       38.32358        0.00018
    8813.0      178.00000        0.00000       -0.00002            1.0        0.00000        0.00000
    8814.0      175.29578       30.90938       -0.00002            1.0        0.00000        0.00000
    8815.0      177.99932        0.49312       -0.00002            1.0        0.00000        0.00000
    8816.0      177.99727        0.98624       -0.00002            1.0        0.00000        0.00000
    8817.0      177.99385        1.47936       -0.00002            1.0        0.00000        0.00000
    8818.0      177.98907        1.97246       -0.00002            2.3        4.17590        0.00000
    8819.0      177.98292        2.46555       -0.00027            3.0        8.63280        0.00004
    8820.0      177.97541        2.95861       -0.00060            3.0       10.43598        0.00004
    8821.0      177.96653        3.45166       -0.00102            3.0       11.92817        0.00005
    8822.0      177.95629        3.94468       -0.00151            3.0       13.48444        0.00006
    8823.0      177.94467        4.43766       -0.00207            3.0       15.10050        0.00007
    8824.0      177.93170        4.93062       -0.00270            3.0       16.78721        0.00008
    8825.0      177.91736        5.42353       -0.00340            3.0       18.57710        0.00009
    8826.0      177.90165        5.91641       -0.00416            3.0       20.44486        0.00009
    8827.0      177.88457        6.40924       -0.00498            3.0       22.33334        0.00010
    8828.0      177.86614        6.90202       -0.00586            3.0       24.27254        0.00011
    8829.0      177.84633        7.39474       -0.00679            3.0       26.18950        0.00012
    8830.0      177.82516        7.88741       -0.00778            3.0       28.10629        0.00013
    8831.0      177.80263        8.38002       -0.00880            3.0       29.99682        0.00014
    8832.0      177.77873        8.87257       -0.00985            3.0       31.82700        0.00015
    8833.0      177.75347        9.36504       -0.01091            3.0       33.57949        0.00016
    8834.0      177.72684        9.85745       -0.01198            3.0       35.24958        0.00017
    8835.0      177.69885       10.34978       -0.01305            3.0       36.84019        0.00018
    8836.0      177.66950       10.84203       -0.01409            3.0       38.32195        0.00018
    8837.0      177.63878       11.33420       -0.01508            3.0       39.66293        0.00019
    8838.0      177.60670       11.82628       -0.01602            3.0       40.85637        0.00020
    8839.0      177.57325       12.31827       -0.01690            3.0       41.93241        0.00020
    8840.0      177.53845       12.81016       -0.01768            3.0       42.87102        0.00021
    8841.0      177.50228       13.30196       -0.01835            3.0       43.66550        0.00021
    8842.0      177.46474       13.79365       -0.01892            3.0       44.31175        0.00021
    8843.0      177.42585       14.28524       -0.01935            3.0       44.80400        0.00022
    8844.0      177.38559       14.77672       -0.01963            3.0       45.11777        0.00022
    8845.0      177.34398       15.26808       -0.01978            3.0       45.28442        0.00022
    8846.0      177.30100       15.75933       -0.01978            3.0       45.29000        0.00022
    8847.0      177.25666       16.25046       -0.01964            3.0       45.12257        0.00022
    8848.0      177.21096       16.74146       -0.01935            3.0       44.80205        0.00022
    8849.0      177.16390       17.23233       -0.01891            3.0       44.30369        0.00021
    8850.0      177.11548       17.72308       -0.01835            3.0       43.67109        0.00021
    8851.0      177.06570       18.21368       -0.01768            3.0       42.88328        0.00021
    8852.0      177.01456       18.70415       -0.01689            3.0       41.94271        0.00020
    8853.0      176.96206       19.19447       -0.01602            3.0       40.86285        0.00020
    8854.0      176.90821       19.68465       -0.01508            3.0       39.64760        0.00019
    8855.0      176.85300       20.17467       -0.01409            3.0       38.30724        0.00018
    8856.0      176.79643       20.66454       -0.01305            3.0       36.83742        0.00018
    8857.0      176.73850       21.15425       -0.01199            3.0       35.25858        0.00017
    8858.0      176.67922       21.64380       -0.01092            3.0       33.58540        0.00016
    8859.0      176.61858       22.13318       -0.00985            3.0       31.82645        0.00015
    8860.0      176.55658       22.62239       -0.00880            3.0       30.00030        0.00014
    8861.0      176.49323       23.11143       -0.00778            3.0       28.11259        0.00013
    8862.0      176.42853       23.60029       -0.00680            3.0       26.20330        0.00012
    8863.0      176.36247       24.08897       -0.00587            3.0       24.27366        0.00011
    8864.0      176.29506       24.57747       -0.00499            3.0       22.34834        0.00010
    8865.0      176.22629       25.06577       -0.00416            3.0       20.44674        0.00009
    8866.0      176.15618       25.55389       -0.00340            3.0       18.57642        0.00009
    8867.0      176.08471       26.04181       -0.00270            3.0       16.78981        0.00008
    8868.0      176.01189       26.52952       -0.00207            3.0       15.10565        0.00007
    8869.0      175.93772       27.01704       -0.00151            3.0       13.47606        0.00006
    8870.0      175.86219       27.50435       -0.00102            3.0       11.92447        0.00005
    8871.0      175.78532       27.99144       -0.00060            3.0       10.43439        0.00004
    8872.0      175.70710       28.47832       -0.00026            3.0        8.75619        0.00004
    8873.0      175.62753       28.96499       -0.00001            2.3        3.65371        0.00000
    8874.0      175.54661       29.45143       -0.00002            1.0        0.00000        0.00000
    8875.0      175.46435       29.93764       -0.00002            1.0        0.00000        0.00000
    8876.0      175.38074       30.42362       -0.00002            1.0        0.00000        0.00000
    8877.0      160.00000        0.00000        0.00000            1.0        0.00000        0.00000
    8878.0      177.50000        0.00000       -0.00000            1.0        0.00000        0.00000
    8879.0      177.00000        0.00000        0.00000            1.0        0.00000        0.00000
    8880.0      176.50000        0.00000        0.00000            2.3        3.57984        0.00000
    8881.0      176.00000        0.00000       -0.00009            3.0        7.07514        0.00003
    8882.0      175.50000        0.00000       -0.00019            3.0        7.49855        0.00003
    8883.0      175.00000        0.00000       -0.00028            3.0        7.69658        0.00003
    8884.0      174.50000        0.00000       -0.00037            3.0        7.94449        0.00003
    8885.0      174.00000        0.00000       -0.00043            3.0        8.00506        0.00003
    8886.0      173.50000        0.00000       -0.00049            3.0        8.06468        0.00003
    8887.0      173.00000        0.00000       -0.00052            3.0        8.00140        0.00003
    8888.0      172.50000        0.00000       -0.00055            3.0        7.97728        0.00003
    8889.0      172.00000        0.00000       -0.00054            3.0        7.96037        0.00003
    8890.0      171.50000        0.00000       -0.00052            3.0        7.82570        0.00003
    8891.0      171.00000        0.00000       -0.00048            3.0        7.69822        0.00003
    8892.0      170.50000        0.00000       -0.00042            3.0        7.55577        0.00003
    8893.0      170.00000        0.00000       -0.00032            3.0        7.19374        0.00003
    8894.0      169.50000        0.00000       -0.00022            3.0        7.03671        0.00002
    8895.0      169.00000        0.00000       -0.00009            3.0        6.82704        0.00003
    8896.0      168.50000        0.00000        0.00000            1.0        0.00000        0.00000
    8897.0      168.00000        0.00000        0.00000            1.0        0.00000        0.00000
    8898.0      167.50000        0.00000        0.00000            1.0        0.00000        0.00000
    8899.0      167.00000        0.00000        0.00000            1.0        0.00000        0.00000
    8900.0      166.50000        0.00000        0.00000            1.0        0.00000        0.00000
    8901.0      166.00000        0.00000        0.00000            1.0        0.00000        0.00000
    8902.0      165.50000        0.00000        0.00000            1.0        0.00000        0.00000
    8903.0      165.00000        0.00000        0.00000            1.0        0.00000        0.00000
    8904.0      164.50000        0.00000        0.00000            1.0        0.00000        0.00000
    8905.0      164.00000        0.00000        0.00000            1.0        0.00000        0.00000
    8906.0      163.50000        0.00000        0.00000            1.0        0.00000        0.00000
    8907.0      163.00000        0.00000        0.00000            1.0        0.00000        0.00000
    8908.0      162.50000        0.00000        0.00000            1.0        0.00000        0.00000
    8909.0      162.00000        0.00000        0.00000            1.0        0.00000        0.00000
    8910.0      161.50000        0.00000        0.00000            1.0        0.00000        0.00000
    8911.0      161.00000        0.00000        0.00000            1.0        0.00000        0.00000
    8912.0      160.50000        0.00000        0.00000            1.0        0.00000        0.00000
    8913.0      157.56924       27.78371        0.00000            1.0        0.00000        0.00000
    8914.0      159.99922        0.49866        0.00000            1.0        0.00000        0.00000
    8915.0      159.99689        0.99732        0.00000            1.0        0.00000        0.00000
    8916.0      159.99301        1.49597        0.00000            1.0        0.00000        0.00000
    8917.0      159.98757        1.99461        0.00000            1.0        0.00000        0.00000
    8918.0      159.98057        2.49323        0.00000            1.0        0.00000        0.00000
    8919.0      159.97203        2.99182        0.00000            1.0        0.00000        0.00000
    8920.0      159.96192        3.49038        0.00000            1.0        0.00000        0.00000
    8921.0      159.95027        3.98891        0.00000            1.0        0.00000        0.00000
    8922.0      159.93706        4.48740        0.00000            1.0        0.00000        0.00000
    8923.0      159.92230        4.98585        0.00000            1.0        0.00000        0.00000
    8924.0      159.90598        5.48425        0.00000            1.0        0.00000        0.00000
    8925.0      159.88811        5.98259        0.00000            1.0        0.00000        0.00000
    8926.0      159.86869        6.48088        0.00000            1.0        0.00000        0.00000
    8927.0      159.84772        6.97910        0.00000            1.0        0.00000        0.00000
    8928.0      159.82519        7.47726        0.00000            1.0        0.00000        0.00000
    8929.0      159.80111        7.97534        0.00000            1.0        0.00000        0.00000
    8930.0      159.77547        8.47335        0.00000            1.0        0.00000        0.00000
    8931.0      159.74829        8.97127        0.00000            1.0        0.00000        0.00000
    8932.0      159.71955        9.46911        0.00000            1.0        0.00000        0.00000
    8933.0      159.68927        9.96685        0.00000            1.0        0.00000        0.00000
    8934.0      159.65743       10.46450        0.00000            1.0        0.00000        0.00000
    8935.0      159.62404       10.96205        0.00000            1.0        0.00000        0.00000
    8936.0      159.58910       11.45949        0.00000            1.0        0.00000        0.00000
