   节点编号          X坐标          Y坐标          Z坐标          接触状态          接触压力          接触间隙
    6403.0      167.80900       14.68138       -0.01914            3.0       18.77944        0.00012
    6405.0      174.38388       15.25661       -0.02763            3.0       30.11824        0.00021
    6406.0      167.80285       15.17457       -0.01917            3.0       18.82629        0.00012
    6407.0      167.87027       15.66315       -0.01928            3.0       18.97707        0.00012
    6408.0      168.00977       16.13624       -0.01942            3.0       19.21988        0.00012
    6409.0      168.21821       16.58324       -0.01966            3.0       19.56581        0.00012
    6410.0      168.49095       16.99419       -0.01997            3.0       20.01155        0.00013
    6411.0      168.82189       17.35990       -0.02031            3.0       20.53450        0.00013
    6412.0      169.20364       17.67220       -0.02071            3.0       21.13914        0.00014
    6413.0      169.62767       17.92412       -0.02117            3.0       21.82325        0.00014
    6414.0      170.08451       18.11002       -0.02169            3.0       22.58028        0.00015
    6415.0      170.56396       18.22576       -0.02223            3.0       23.51731        0.00015
    6416.0      171.05530       18.26874       -0.02285            3.0       24.58086        0.00016
    6417.0      171.54756       18.23802       -0.02347            3.0       25.03905        0.00017
    6418.0      172.02974       18.13427       -0.02413            3.0       25.96347        0.00018
    6419.0      172.49108       17.95981       -0.02479            3.0       26.80904        0.00018
    6420.0      172.92126       17.71855       -0.02543            3.0       27.59767        0.00019
    6421.0      173.31068       17.41586       -0.02605            3.0       28.33101        0.00020
    6422.0      173.65063       17.05852       -0.02652            3.0       28.92368        0.00020
    6423.0      173.93353       16.65450       -0.02700            3.0       29.44128        0.00021
    6424.0      174.15305       16.21283       -0.02734            3.0       29.81111        0.00021
    6425.0      174.30430       15.74337       -0.02756            3.0       30.04366        0.00021
    8778.0      167.88858       14.19463       -0.01916            3.0       18.82803        0.00012
    8779.0      168.03982       13.72517       -0.01929            3.0       18.98571        0.00012
    8780.0      168.25935       13.28350       -0.01943            3.0       19.22641        0.00012
    8781.0      168.54225       12.87948       -0.01966            3.0       19.56838        0.00012
    8782.0      168.88220       12.52213       -0.01997            3.0       20.01187        0.00013
    8783.0      169.27162       12.21945       -0.02030            3.0       20.53143        0.00013
    8784.0      169.70180       11.97818       -0.02072            3.0       21.15562        0.00014
    8785.0      170.16313       11.80373       -0.02118            3.0       21.77674        0.00014
    8786.0      170.64532       11.69998       -0.02169            3.0       22.74276        0.00015
    8787.0      171.13758       11.66926       -0.02224            3.0       23.49217        0.00015
    8788.0      171.62892       11.71224       -0.02285            3.0       24.77991        0.00016
    8789.0      172.10837       11.82798       -0.02348            3.0       25.28095        0.00017
    8790.0      172.56521       12.01388       -0.02413            3.0       26.17160        0.00018
    8791.0      172.98924       12.26580       -0.02479            3.0       26.89104        0.00018
    8792.0      173.37099       12.57810       -0.02542            3.0       27.62342        0.00019
    8793.0      173.70193       12.94381       -0.02604            3.0       28.34062        0.00020
    8794.0      173.97467       13.35475       -0.02653            3.0       28.91713        0.00020
    8795.0      174.18311       13.80176       -0.02701            3.0       29.45007        0.00021
    8796.0      174.32261       14.27484       -0.02735            3.0       29.82077        0.00021
    8797.0      174.39003       14.76343       -0.02756            3.0       30.04236        0.00021
    8813.0      178.00000        0.00000       -0.00126            3.0       15.91054        0.00009
    8814.0      175.29578       30.90938       -0.00126            3.0       15.91006        0.00009
    8815.0      177.99932        0.49312       -0.00132            3.0       15.97370        0.00009
    8816.0      177.99727        0.98624       -0.00148            3.0       16.13186        0.00009
    8817.0      177.99385        1.47936       -0.00176            3.0       16.39778        0.00009
    8818.0      177.98907        1.97246       -0.00216            3.0       16.77119        0.00010
    8819.0      177.98292        2.46555       -0.00265            3.0       17.23399        0.00010
    8820.0      177.97541        2.95861       -0.00323            3.0       17.78017        0.00010
    8821.0      177.96653        3.45166       -0.00394            3.0       18.42470        0.00011
    8822.0      177.95629        3.94468       -0.00474            3.0       19.14810        0.00012
    8823.0      177.94467        4.43766       -0.00564            3.0       19.93796        0.00012
    8824.0      177.93170        4.93062       -0.00663            3.0       20.78838        0.00013
    8825.0      177.91736        5.42353       -0.00769            3.0       21.68225        0.00014
    8826.0      177.90165        5.91641       -0.00884            3.0       22.62346        0.00015
    8827.0      177.88457        6.40924       -0.01005            3.0       23.58815        0.00016
    8828.0      177.86614        6.90202       -0.01135            3.0       24.58465        0.00016
    8829.0      177.84633        7.39474       -0.01268            3.0       25.57651        0.00017
    8830.0      177.82516        7.88741       -0.01407            3.0       26.57251        0.00018
    8831.0      177.80263        8.38002       -0.01549            3.0       27.55626        0.00019
    8832.0      177.77873        8.87257       -0.01692            3.0       28.51134        0.00020
    8833.0      177.75347        9.36504       -0.01836            3.0       29.42699        0.00021
    8834.0      177.72684        9.85745       -0.01978            3.0       30.29731        0.00021
    8835.0      177.69885       10.34978       -0.02118            3.0       31.12991        0.00022
    8836.0      177.66950       10.84203       -0.02253            3.0       31.90397        0.00023
    8837.0      177.63878       11.33420       -0.02380            3.0       32.60323        0.00023
    8838.0      177.60670       11.82628       -0.02499            3.0       33.22389        0.00024
    8839.0      177.57325       12.31827       -0.02609            3.0       33.78321        0.00024
    8840.0      177.53845       12.81016       -0.02707            3.0       34.27018        0.00025
    8841.0      177.50228       13.30196       -0.02791            3.0       34.68140        0.00025
    8842.0      177.46474       13.79365       -0.02861            3.0       35.01595        0.00025
    8843.0      177.42585       14.28524       -0.02914            3.0       35.26930        0.00026
    8844.0      177.38559       14.77672       -0.02949            3.0       35.43188        0.00026
    8845.0      177.34398       15.26808       -0.02967            3.0       35.51873        0.00026
    8846.0      177.30100       15.75933       -0.02968            3.0       35.52214        0.00026
    8847.0      177.25666       16.25046       -0.02950            3.0       35.43448        0.00026
    8848.0      177.21096       16.74146       -0.02915            3.0       35.26818        0.00026
    8849.0      177.16390       17.23233       -0.02860            3.0       35.01171        0.00025
    8850.0      177.11548       17.72308       -0.02791            3.0       34.68460        0.00025
    8851.0      177.06570       18.21368       -0.02707            3.0       34.27667        0.00025
    8852.0      177.01456       18.70415       -0.02609            3.0       33.78898        0.00024
    8853.0      176.96206       19.19447       -0.02500            3.0       33.22705        0.00024
    8854.0      176.90821       19.68465       -0.02380            3.0       32.59481        0.00023
    8855.0      176.85300       20.17467       -0.02253            3.0       31.89606        0.00023
    8856.0      176.79643       20.66454       -0.02118            3.0       31.12883        0.00022
    8857.0      176.73850       21.15425       -0.01978            3.0       30.30492        0.00021
    8858.0      176.67922       21.64380       -0.01836            3.0       29.43049        0.00021
    8859.0      176.61858       22.13318       -0.01693            3.0       28.51184        0.00020
    8860.0      176.55658       22.62239       -0.01549            3.0       27.55976        0.00019
    8861.0      176.49323       23.11143       -0.01407            3.0       26.57658        0.00018
    8862.0      176.42853       23.60029       -0.01269            3.0       25.58485        0.00017
    8863.0      176.36247       24.08897       -0.01135            3.0       24.58711        0.00016
    8864.0      176.29506       24.57747       -0.01007            3.0       23.59739        0.00016
    8865.0      176.22629       25.06577       -0.00885            3.0       22.62688        0.00015
    8866.0      176.15618       25.55389       -0.00769            3.0       21.68257        0.00014
    8867.0      176.08471       26.04181       -0.00663            3.0       20.78894        0.00013
    8868.0      176.01189       26.52952       -0.00564            3.0       19.94236        0.00012
    8869.0      175.93772       27.01704       -0.00474            3.0       19.14759        0.00012
    8870.0      175.86219       27.50435       -0.00394            3.0       18.43013        0.00011
    8871.0      175.78532       27.99144       -0.00324            3.0       17.78541        0.00010
    8872.0      175.70710       28.47832       -0.00265            3.0       17.23508        0.00010
    8873.0      175.62753       28.96499       -0.00215            3.0       16.77035        0.00010
    8874.0      175.54661       29.45143       -0.00177            3.0       16.40372        0.00009
    8875.0      175.46435       29.93764       -0.00149            3.0       16.13171        0.00009
    8876.0      175.38074       30.42362       -0.00133            3.0       15.97430        0.00009
    8877.0      160.00000        0.00000        0.00000            1.0        0.00000        0.00000
    8878.0      177.50000        0.00000       -0.00147            3.0       15.75833        0.00009
    8879.0      177.00000        0.00000       -0.00167            3.0       15.59367        0.00009
    8880.0      176.50000        0.00000       -0.00183            3.0       15.39197        0.00008
    8881.0      176.00000        0.00000       -0.00195            3.0       15.15986        0.00008
    8882.0      175.50000        0.00000       -0.00204            3.0       14.91204        0.00008
    8883.0      175.00000        0.00000       -0.00214            3.0       14.66245        0.00008
    8884.0      174.50000        0.00000       -0.00221            3.0       14.40008        0.00008
    8885.0      174.00000        0.00000       -0.00224            3.0       14.10595        0.00007
    8886.0      173.50000        0.00000       -0.00227            3.0       13.82160        0.00007
    8887.0      173.00000        0.00000       -0.00225            3.0       13.50555        0.00007
    8888.0      172.50000        0.00000       -0.00223            3.0       13.19787        0.00007
    8889.0      172.00000        0.00000       -0.00216            3.0       12.86268        0.00006
    8890.0      171.50000        0.00000       -0.00207            3.0       12.52273        0.00006
    8891.0      171.00000        0.00000       -0.00197            3.0       12.18376        0.00006
    8892.0      170.50000        0.00000       -0.00184            3.0       11.82702        0.00005
    8893.0      170.00000        0.00000       -0.00167            3.0       11.44950        0.00005
    8894.0      169.50000        0.00000       -0.00149            3.0       11.07483        0.00005
    8895.0      169.00000        0.00000       -0.00127            3.0       10.67398        0.00004
    8896.0      168.50000        0.00000       -0.00104            3.0       10.25523        0.00004
    8897.0      168.00000        0.00000       -0.00076            3.0        9.78886        0.00004
    8898.0      167.50000        0.00000       -0.00046            3.0        9.08437        0.00003
    8899.0      167.00000        0.00000       -0.00014            2.3        8.35894        0.00003
    8900.0      166.50000        0.00000        0.00000            1.0        0.00000        0.00000
    8901.0      166.00000        0.00000        0.00000            1.0        0.00000        0.00000
    8902.0      165.50000        0.00000        0.00000            1.0        0.00000        0.00000
    8903.0      165.00000        0.00000        0.00000            1.0        0.00000        0.00000
    8904.0      164.50000        0.00000        0.00000            1.0        0.00000        0.00000
    8905.0      164.00000        0.00000        0.00000            1.0        0.00000        0.00000
    8906.0      163.50000        0.00000        0.00000            1.0        0.00000        0.00000
