   节点编号          X坐标          Y坐标          Z坐标          接触状态          接触压力          接触间隙
    6403.0      167.80900       14.68138       -0.01328            3.0       25.52613        0.00018
    6405.0      174.38388       15.25661       -0.01722            3.0       40.82598        0.00029
    6406.0      167.80285       15.17457       -0.01328            3.0       25.67395        0.00018
    6407.0      167.87027       15.66315       -0.01334            3.0       25.94999        0.00018
    6408.0      168.00977       16.13624       -0.01338            3.0       26.22782        0.00018
    6409.0      168.21821       16.58324       -0.01349            3.0       26.50281        0.00019
    6410.0      168.49095       16.99419       -0.01363            3.0       27.09575        0.00019
    6411.0      168.82189       17.35990       -0.01376            3.0       27.75117        0.00020
    6412.0      169.20364       17.67220       -0.01392            3.0       28.50960        0.00020
    6413.0      169.62767       17.92412       -0.01411            3.0       29.41138        0.00021
    6414.0      170.08451       18.11002       -0.01433            3.0       30.36084        0.00022
    6415.0      170.56396       18.22576       -0.01456            3.0       31.25863        0.00023
    6416.0      171.05530       18.26874       -0.01483            3.0       32.13150        0.00024
    6417.0      171.54756       18.23802       -0.01511            3.0       33.79226        0.00024
    6418.0      172.02974       18.13427       -0.01541            3.0       34.89413        0.00025
    6419.0      172.49108       17.95981       -0.01573            3.0       36.07630        0.00026
    6420.0      172.92126       17.71855       -0.01605            3.0       37.18550        0.00027
    6421.0      173.31068       17.41586       -0.01637            3.0       38.23951        0.00027
    6422.0      173.65063       17.05852       -0.01661            3.0       39.06763        0.00028
    6423.0      173.93353       16.65450       -0.01686            3.0       39.82886        0.00029
    6424.0      174.15305       16.21283       -0.01705            3.0       40.36991        0.00029
    6425.0      174.30430       15.74337       -0.01718            3.0       40.71578        0.00029
    8778.0      167.88858       14.19463       -0.01327            3.0       25.58450        0.00018
    8779.0      168.03982       13.72517       -0.01335            3.0       25.80310        0.00018
    8780.0      168.25935       13.28350       -0.01339            3.0       26.08898        0.00019
    8781.0      168.54225       12.87948       -0.01349            3.0       26.52964        0.00019
    8782.0      168.88220       12.52213       -0.01362            3.0       27.09558        0.00019
    8783.0      169.27162       12.21945       -0.01376            3.0       27.75546        0.00020
    8784.0      169.70180       11.97818       -0.01393            3.0       28.52542        0.00020
    8785.0      170.16313       11.80373       -0.01412            3.0       29.45802        0.00021
    8786.0      170.64532       11.69998       -0.01434            3.0       30.23549        0.00022
    8787.0      171.13758       11.66926       -0.01456            3.0       31.29780        0.00022
    8788.0      171.62892       11.71224       -0.01484            3.0       31.91838        0.00024
    8789.0      172.10837       11.82798       -0.01512            3.0       33.65317        0.00024
    8790.0      172.56521       12.01388       -0.01542            3.0       34.75439        0.00025
    8791.0      172.98924       12.26580       -0.01574            3.0       36.04553        0.00026
    8792.0      173.37099       12.57810       -0.01604            3.0       37.17596        0.00027
    8793.0      173.70193       12.94381       -0.01636            3.0       38.22901        0.00027
    8794.0      173.97467       13.35475       -0.01661            3.0       39.07833        0.00028
    8795.0      174.18311       13.80176       -0.01687            3.0       39.84140        0.00029
    8796.0      174.32261       14.27484       -0.01706            3.0       40.39486        0.00029
    8797.0      174.39003       14.76343       -0.01717            3.0       40.71371        0.00029
    8813.0      178.00000        0.00000       -0.00002            1.0        0.00000        0.00000
    8814.0      175.29578       30.90938       -0.00002            1.0        0.00000        0.00000
    8815.0      177.99932        0.49312       -0.00002            1.0        0.00000        0.00000
    8816.0      177.99727        0.98624       -0.00002            1.0        0.00000        0.00000
    8817.0      177.99385        1.47936       -0.00002            1.0        0.00000        0.00000
    8818.0      177.98907        1.97246       -0.00002            1.0        0.00000        0.00000
    8819.0      177.98292        2.46555       -0.00001            1.0        0.00000        0.00000
    8820.0      177.97541        2.95861       -0.00012            3.0        8.99830        0.00006
    8821.0      177.96653        3.45166       -0.00045            3.0       10.45179        0.00007
    8822.0      177.95629        3.94468       -0.00084            3.0       12.12748        0.00008
    8823.0      177.94467        4.43766       -0.00130            3.0       13.98333        0.00009
    8824.0      177.93170        4.93062       -0.00183            3.0       15.85914        0.00011
    8825.0      177.91736        5.42353       -0.00241            3.0       17.86265        0.00012
    8826.0      177.90165        5.91641       -0.00306            3.0       19.89627        0.00014
    8827.0      177.88457        6.40924       -0.00376            3.0       21.96363        0.00015
    8828.0      177.86614        6.90202       -0.00453            3.0       24.09851        0.00017
    8829.0      177.84633        7.39474       -0.00534            3.0       26.23004        0.00018
    8830.0      177.82516        7.88741       -0.00620            3.0       28.35480        0.00020
    8831.0      177.80263        8.38002       -0.00711            3.0       30.46925        0.00022
    8832.0      177.77873        8.87257       -0.00805            3.0       32.52118        0.00023
    8833.0      177.75347        9.36504       -0.00900            3.0       34.49693        0.00025
    8834.0      177.72684        9.85745       -0.00996            3.0       36.38818        0.00026
    8835.0      177.69885       10.34978       -0.01093            3.0       38.19599        0.00027
    8836.0      177.66950       10.84203       -0.01188            3.0       39.88726        0.00029
    8837.0      177.63878       11.33420       -0.01279            3.0       41.42443        0.00030
    8838.0      177.60670       11.82628       -0.01365            3.0       42.79696        0.00031
    8839.0      177.57325       12.31827       -0.01446            3.0       44.03749        0.00032
