   节点编号          X坐标          Y坐标          Z坐标          接触状态          接触压力          接触间隙
    6403.0      167.80900       14.68138       -0.01810            3.0       19.66841        0.00009
    6405.0      174.38388       15.25661       -0.02563            3.0       32.06654        0.00020
    6406.0      167.80285       15.17457       -0.01812            3.0       19.73163        0.00009
    6407.0      167.87027       15.66315       -0.01823            3.0       19.90531        0.00010
    6408.0      168.00977       16.13624       -0.01834            3.0       20.16211        0.00010
    6409.0      168.21821       16.58324       -0.01855            3.0       20.51848        0.00010
    6410.0      168.49095       16.99419       -0.01883            3.0       21.00908        0.00011
    6411.0      168.82189       17.35990       -0.01912            3.0       21.57606        0.00011
    6412.0      169.20364       17.67220       -0.01947            3.0       22.23601        0.00012
    6413.0      169.62767       17.92412       -0.01987            3.0       23.00027        0.00012
    6414.0      170.08451       18.11002       -0.02033            3.0       23.81955        0.00013
    6415.0      170.56396       18.22576       -0.02081            3.0       24.37582        0.00014
    6416.0      171.05530       18.26874       -0.02135            3.0       24.85562        0.00015
    6417.0      171.54756       18.23802       -0.02190            3.0       26.68956        0.00015
    6418.0      172.02974       18.13427       -0.02248            3.0       27.50638        0.00016
    6419.0      172.49108       17.95981       -0.02307            3.0       28.43540        0.00017
    6420.0      172.92126       17.71855       -0.02364            3.0       29.30403        0.00018
    6421.0      173.31068       17.41586       -0.02421            3.0       30.10900        0.00018
    6422.0      173.65063       17.05852       -0.02463            3.0       30.75372        0.00019
    6423.0      173.93353       16.65450       -0.02506            3.0       31.32429        0.00019
    6424.0      174.15305       16.21283       -0.02537            3.0       31.72929        0.00020
    6425.0      174.30430       15.74337       -0.02557            3.0       31.98514        0.00020
    8778.0      167.88858       14.19463       -0.01812            3.0       19.71824        0.00009
    8779.0      168.03982       13.72517       -0.01824            3.0       19.88887        0.00010
    8780.0      168.25935       13.28350       -0.01836            3.0       20.14785        0.00010
    8781.0      168.54225       12.87948       -0.01856            3.0       20.52023        0.00010
    8782.0      168.88220       12.52213       -0.01883            3.0       21.00316        0.00011
    8783.0      169.27162       12.21945       -0.01912            3.0       21.57096        0.00011
    8784.0      169.70180       11.97818       -0.01948            3.0       22.24875        0.00012
    8785.0      170.16313       11.80373       -0.01988            3.0       23.05840        0.00012
    8786.0      170.64532       11.69998       -0.02034            3.0       23.33034        0.00013
    8787.0      171.13758       11.66926       -0.02081            3.0       24.90932        0.00013
    8788.0      171.62892       11.71224       -0.02136            3.0       25.22255        0.00015
    8789.0      172.10837       11.82798       -0.02191            3.0       26.00080        0.00016
    8790.0      172.56521       12.01388       -0.02249            3.0       26.98895        0.00016
    8791.0      172.98924       12.26580       -0.02308            3.0       28.28766        0.00017
    8792.0      173.37099       12.57810       -0.02364            3.0       29.23312        0.00018
    8793.0      173.70193       12.94381       -0.02420            3.0       30.07661        0.00018
    8794.0      173.97467       13.35475       -0.02463            3.0       30.77637        0.00019
    8795.0      174.18311       13.80176       -0.02507            3.0       31.32176        0.00019
    8796.0      174.32261       14.27484       -0.02538            3.0       31.74350        0.00020
    8797.0      174.39003       14.76343       -0.02557            3.0       31.98293        0.00020
    8813.0      178.00000        0.00000       -0.00058            3.0       13.55953        0.00004
    8814.0      175.29578       30.90938       -0.00058            3.0       13.71728        0.00004
    8815.0      177.99932        0.49312       -0.00064            3.0       13.60973        0.00004
